Date,Returns
2010-09-02,0.009312541075815028
2010-09-03,0.012971942015499893
2010-09-07,-0.011272976313155825
2010-09-08,0.007023030233924699
2010-09-09,0.0046191791734355725
2010-09-10,0.005048683409298205
2010-09-13,0.011122993418315685
2010-09-14,-0.0006210523922687283
2010-09-15,0.0038174833995407997
2010-09-16,-0.0002654575240855772
2010-09-17,0.0003730904117986711
2010-09-20,0.015290291066382133
2010-09-21,-0.0020132072416645386
2010-09-22,-0.004913200102292903
2010-09-23,-0.008111822782746247
2010-09-24,0.02062262472450982
2010-09-27,-0.004790024115966296
2010-09-28,0.003500134714772063
2010-09-29,-0.0017439632510697356
2010-09-30,-0.0029705980823933054
2010-10-01,0.004206069464301798
2010-10-04,-0.0075039437634636386
2010-10-05,0.020132019465823436
